method,objective,task,candidate_id,engine,ad_mode,instance_type,final_budget_M,runtime_ms,cost_per_run,objective_score,correctness_passed,capacity_passed,full_runs_used,full_runs_saved,full_run_saving_pct,objective_regret_pct,runtime_regret_pct,cost_regret_pct
full_grid_oracle,speed_sensitive,price_only,price_only|european_local_vol|rust|none|t2d-standard-4,rust,none,t2d-standard-4,100000,445.09794199998964,2.102840499315507e-05,1.0476042998064015,True,True,30,0,0.0,0.0,0.0,0.0
full_grid_oracle,balanced,price_only,price_only|european_local_vol|rust|none|t2d-standard-4,rust,none,t2d-standard-4,100000,445.09794199998964,2.102840499315507e-05,1.029752687379001,True,True,30,0,0.0,0.0,0.0,0.0
full_grid_oracle,cost_sensitive,price_only,price_only|european_local_vol|rust|none|t2d-standard-4,rust,none,t2d-standard-4,100000,445.09794199998964,2.102840499315507e-05,1.0119010749516004,True,True,30,0,0.0,0.0,0.0,0.0
full_grid_oracle,speed_sensitive,ad_required,ad_required|european_local_vol|jax|reverse|t2d-standard-4,jax,reverse,t2d-standard-4,100000,1183.0065663333187,5.589048800054746e-05,1.0395066998962947,True,True,30,0,0.0,0.0,0.0,0.0
full_grid_oracle,balanced,ad_required,ad_required|european_local_vol|jax|reverse|t2d-standard-4,jax,reverse,t2d-standard-4,100000,1183.0065663333187,5.589048800054746e-05,1.0246916874351841,True,True,30,0,0.0,0.0,0.0,0.0
full_grid_oracle,cost_sensitive,ad_required,ad_required|european_local_vol|jax|reverse|t2d-standard-4,jax,reverse,t2d-standard-4,100000,1183.0065663333187,5.589048800054746e-05,1.0098766749740737,True,True,30,0,0.0,0.0,0.0,0.0
plain_sha,speed_sensitive,ad_required,ad_required|european_local_vol|jax|reverse|t2d-standard-4,jax,reverse,t2d-standard-4,100000,1183.0065663333187,5.589048800054746e-05,1.0395066998962947,True,True,7,23,76.66666666666667,0.0,0.0,0.0
plain_sha,balanced,ad_required,ad_required|european_local_vol|jax|reverse|t2d-standard-4,jax,reverse,t2d-standard-4,100000,1183.0065663333187,5.589048800054746e-05,1.0246916874351841,True,True,7,23,76.66666666666667,0.0,0.0,0.0
plain_sha,cost_sensitive,ad_required,ad_required|european_local_vol|jax|reverse|t2d-standard-4,jax,reverse,t2d-standard-4,100000,1183.0065663333187,5.589048800054746e-05,1.0098766749740737,True,True,7,23,76.66666666666667,0.0,0.0,0.0
plain_sha,speed_sensitive,price_only,price_only|european_local_vol|rust|none|t2d-standard-4,rust,none,t2d-standard-4,100000,445.09794199998964,2.102840499315507e-05,1.0476042998064015,True,True,7,23,76.66666666666667,0.0,0.0,0.0
plain_sha,balanced,price_only,price_only|european_local_vol|rust|none|t2d-standard-4,rust,none,t2d-standard-4,100000,445.09794199998964,2.102840499315507e-05,1.029752687379001,True,True,7,23,76.66666666666667,0.0,0.0,0.0
plain_sha,cost_sensitive,price_only,price_only|european_local_vol|rust|none|t2d-standard-4,rust,none,t2d-standard-4,100000,445.09794199998964,2.102840499315507e-05,1.0119010749516004,True,True,7,23,76.66666666666667,0.0,0.0,0.0
guarded_sha,speed_sensitive,price_only,price_only|european_local_vol|rust|none|t2d-standard-4,rust,none,t2d-standard-4,100000,445.09794199998964,2.102840499315507e-05,1.0476042998064015,True,True,17,13,43.333333333333336,0.0,0.0,0.0
guarded_sha,balanced,price_only,price_only|european_local_vol|rust|none|t2d-standard-4,rust,none,t2d-standard-4,100000,445.09794199998964,2.102840499315507e-05,1.029752687379001,True,True,17,13,43.333333333333336,0.0,0.0,0.0
guarded_sha,cost_sensitive,price_only,price_only|european_local_vol|rust|none|t2d-standard-4,rust,none,t2d-standard-4,100000,445.09794199998964,2.102840499315507e-05,1.0119010749516004,True,True,17,13,43.333333333333336,0.0,0.0,0.0
guarded_sha,speed_sensitive,ad_required,ad_required|european_local_vol|jax|reverse|t2d-standard-4,jax,reverse,t2d-standard-4,100000,1183.0065663333187,5.589048800054746e-05,1.0395066998962947,True,True,17,13,43.333333333333336,0.0,0.0,0.0
guarded_sha,balanced,ad_required,ad_required|european_local_vol|jax|reverse|t2d-standard-4,jax,reverse,t2d-standard-4,100000,1183.0065663333187,5.589048800054746e-05,1.0246916874351841,True,True,17,13,43.333333333333336,0.0,0.0,0.0
guarded_sha,cost_sensitive,ad_required,ad_required|european_local_vol|jax|reverse|t2d-standard-4,jax,reverse,t2d-standard-4,100000,1183.0065663333187,5.589048800054746e-05,1.0098766749740737,True,True,17,13,43.333333333333336,0.0,0.0,0.0
