workload_type,engine,ad_mode,M,instance_type,mean_runtime_ms,cost_per_run,paths_per_dollar,profiler_decision,profiler_reason,dominated
asian,cpu,none,10000,,61.258663999979035,,,,,
asian,cpu,none,10000,,62.268654000035895,0.000622686540000359,,selected,top-3 probe Pareto; diversity guard; fastest probe runtime,
asian,cpu,none,10000,t2d-standard-4,64.29177360000722,3.0374291260803414e-06,914516.0800385057,selected,top-3 probe Pareto; diversity guard; fastest probe runtime,
asian,jax,none,10000,t2d-standard-4,82.95642420000604,3.919230174426952e-06,708755.9684304403,selected,diversity guard,
asian,jax,none,10000,,85.01313320002737,0.0008501313320002738,,selected,diversity guard,
asian,jax,none,10000,,85.33383500002856,,,,,
asian,cpu,none,10000,e2-standard-8,107.52273580000065,0.0010752273580000066,,selected,top-3 probe Pareto; diversity guard; fastest probe runtime,
asian,jax,none,10000,e2-standard-8,112.75667499999145,0.0011275667499999146,,selected,diversity guard,
asian,jax,none,50000,t2d-standard-4,189.5988827999986,8.957493885173268e-06,1550532.8908879554,selected,diversity guard,
asian,jax,none,50000,,228.62530800002787,,,,,
asian,jax,none,50000,e2-standard-8,253.27243899998848,0.012663621949999425,,selected,diversity guard,
asian,jax,reverse,10000,t2d-standard-4,256.3245272000131,1.2109909885049509e-05,229380.54900037943,full_grid_only,dominated or outside 1.5x margin (score=207.68 vs best=8.64),
asian,jax,none,50000,,257.7827927999806,0.01288913963999903,,selected,diversity guard,
asian,jax,reverse,10000,,286.61082879998503,,,,,
asian,jax,reverse,10000,,310.7761941999797,0.0031077619419997973,,full_grid_only,dominated or outside 1.5x margin (score=288.70 vs best=9.85),
asian,cpu,none,50000,t2d-standard-4,323.30785720000677,1.5274500097938097e-05,909285.9864372091,selected,top-3 probe Pareto; diversity guard; fastest probe runtime,
asian,cpu,none,50000,,324.8862173999896,0.01624431086999948,,selected,top-3 probe Pareto; diversity guard; fastest probe runtime,
asian,cpu,none,50000,,328.7776154000312,,,,,
asian,jax,none,100000,t2d-standard-4,335.11765579999064,1.5832447471795115e-05,1754484.126807482,selected,diversity guard,
asian,jax,forward,10000,t2d-standard-4,356.1858556000061,1.68278028667914e-05,165070.73441296045,full_grid_only,dominated or outside 1.5x margin (score=296.87 vs best=8.64),
asian,jax,reverse,10000,e2-standard-8,358.57480480000277,0.0035857480480000277,,full_grid_only,dominated or outside 1.5x margin (score=271.80 vs best=13.52),
asian,jax,forward,10000,,402.9728053999861,0.004029728053999861,,full_grid_only,dominated or outside 1.5x margin (score=343.05 vs best=9.85),
asian,jax,none,100000,,403.6070343999654,0.040360703439996544,,selected,diversity guard,
asian,jax,none,100000,,411.2350661999699,,,,,
asian,jax,forward,10000,,415.8745396000086,,,,,
asian,jax,reverse,50000,t2d-standard-4,416.4421616000027,1.9674578568035686e-05,705930.6932984821,full_grid_only,dominated or outside 1.5x margin (score=207.68 vs best=8.64),
asian,jax,none,100000,e2-standard-8,428.0440014000078,0.04280440014000078,,selected,diversity guard,
asian,jax,reverse,50000,,469.6592469999814,,,,,
asian,jax,forward,10000,e2-standard-8,484.9229986000182,0.004849229986000182,,full_grid_only,dominated or outside 1.5x margin (score=395.77 vs best=13.52),
asian,jax,reverse,50000,,528.6006867999731,0.026430034339998656,,full_grid_only,dominated or outside 1.5x margin (score=288.70 vs best=9.85),
asian,cpu,none,50000,e2-standard-8,557.6802683999858,0.02788401341999929,,selected,top-3 probe Pareto; diversity guard; fastest probe runtime,
asian,jax,forward,50000,t2d-standard-4,565.6950680000023,2.672594921262233e-05,519678.0394362697,full_grid_only,dominated or outside 1.5x margin (score=296.87 vs best=8.64),
asian,jax,reverse,50000,e2-standard-8,569.341307000002,0.028467065350000098,,full_grid_only,dominated or outside 1.5x margin (score=271.80 vs best=13.52),
asian,jax,reverse,100000,t2d-standard-4,614.8982217999901,2.905052487881731e-05,956188.498956603,full_grid_only,dominated or outside 1.5x margin (score=207.68 vs best=8.64),
asian,jax,forward,50000,,633.1014213999879,,,,,
asian,cpu,none,100000,,644.4153912000274,0.06444153912000275,,selected,top-3 probe Pareto; diversity guard; fastest probe runtime,
asian,cpu,none,100000,t2d-standard-4,645.0092512000083,3.0473103734471504e-05,911550.6585683051,selected,top-3 probe Pareto; diversity guard; fastest probe runtime,
asian,cpu,none,100000,,647.0329384000252,,,,,
asian,jax,forward,50000,,666.9134747999578,0.033345673739997896,,full_grid_only,dominated or outside 1.5x margin (score=343.05 vs best=9.85),
asian,jax,reverse,100000,,694.9782409999898,,,,,
asian,jax,reverse,100000,,723.8594184000704,0.07238594184000703,,full_grid_only,dominated or outside 1.5x margin (score=288.70 vs best=9.85),
asian,jax,forward,50000,e2-standard-8,774.7464344000036,0.03873732172000018,,full_grid_only,dominated or outside 1.5x margin (score=395.77 vs best=13.52),
asian,jax,reverse,100000,e2-standard-8,848.9897802000087,0.08489897802000088,,full_grid_only,dominated or outside 1.5x margin (score=271.80 vs best=13.52),
asian,jax,forward,100000,t2d-standard-4,860.0429600000098,4.063225184355602e-05,683638.6495321236,full_grid_only,dominated or outside 1.5x margin (score=296.87 vs best=8.64),
asian,jax,forward,100000,,915.611454000009,0.0915611454000009,,full_grid_only,dominated or outside 1.5x margin (score=343.05 vs best=9.85),
asian,jax,forward,100000,,930.9636534000219,,,,,
asian,cpu,none,100000,e2-standard-8,1110.6746487999999,0.11106746488,,selected,top-3 probe Pareto; diversity guard; fastest probe runtime,
asian,jax,forward,100000,e2-standard-8,1236.9576159999838,0.12369576159999839,,full_grid_only,dominated or outside 1.5x margin (score=395.77 vs best=13.52),
european,cpp,none,10000,,0.10389820004093053,1.0389820004093052e-06,,selected,top-3 probe Pareto; diversity guard; fastest probe runtime,
european,rust,none,10000,,0.18341999998483516,1.8341999998483516e-06,,selected,diversity guard,
european,cpu,none,10000,t2d-standard-4,0.23731679999627886,1.121190037315753e-08,247752627.5945218,selected,top-3 probe Pareto; diversity guard; fastest probe runtime,
european,rust,none,50000,,0.3019728000253963,1.5098640001269813e-05,,selected,diversity guard,
european,cpu,none,10000,e2-standard-8,0.3336541999999554,3.3365419999995537e-06,,selected,top-3 probe Pareto; diversity guard; fastest probe runtime,
european,cpu,none,10000,,0.33778820002225984,3.3778820002225984e-06,,selected,diversity guard,
european,rust,none,100000,,0.49897259996214416,4.989725999621442e-05,,selected,diversity guard,
european,cpu,none,10000,,0.5769657999280753,,,,,
european,jax,none,10000,,0.6224266000117495,6.2242660001174955e-06,,selected,diversity guard,
european,cpp,none,50000,,0.6713740000122925,3.356870000061462e-05,,selected,top-3 probe Pareto; diversity guard; fastest probe runtime,
european,jax,none,10000,,0.799038799959817,,,,,
european,jax,none,10000,t2d-standard-4,0.8170866000057231,3.860280248027038e-08,71957930.49474788,selected,diversity guard,
european,jax,none,10000,e2-standard-8,0.931111199992074,9.31111199992074e-06,,selected,within 1.5x safety margin; diversity guard,
european,cpu,none,50000,,0.9952643999895372,,,,,
european,cpu,none,50000,t2d-standard-4,1.0234914000079698,4.83542825870432e-08,287231826.1342687,selected,top-3 probe Pareto; diversity guard; fastest probe runtime,
european,cpu,none,50000,,1.086165800006711,5.430829000033555e-05,,selected,diversity guard,
european,cpp,none,100000,,1.111659200023496,0.0001111659200023496,,selected,top-3 probe Pareto; diversity guard; fastest probe runtime,
european,jax,none,50000,,1.1731680000139022,,,,,
european,jax,none,50000,t2d-standard-4,1.2274321999996118,5.798935238220389e-08,239507570.2406222,selected,diversity guard,
european,jax,none,50000,,1.3879705999897851,6.939852999948926e-05,,selected,diversity guard,
european,cpu,none,50000,e2-standard-8,1.4541987999962203,7.270993999981102e-05,,selected,top-3 probe Pareto; diversity guard; fastest probe runtime,
european,jax,none,50000,e2-standard-8,1.704138799999555,8.520693999997776e-05,,selected,within 1.5x safety margin; diversity guard,
european,jax,none,100000,,1.805129800004579,,,,,
european,jax,none,100000,,1.8395945999145624,0.00018395945999145625,,selected,diversity guard,
european,cpu,none,100000,,1.8475773999853118,0.00018475773999853117,,selected,diversity guard,
european,cpu,none,100000,,1.851855200038699,,,,,
european,cpu,none,100000,t2d-standard-4,1.895605799995792,8.955684290646787e-08,310169238.62298906,selected,top-3 probe Pareto; diversity guard; fastest probe runtime,
european,jax,forward,10000,t2d-standard-4,1.942413599988413,9.176825141278592e-08,30269485.742764786,full_grid_only,dominated or outside 1.5x margin (score=1.86 vs best=0.08),
european,jax,forward,10000,,2.0784859999821492,2.078485999982149e-05,,full_grid_only,dominated or outside 1.5x margin (score=2.04 vs best=0.02),
european,jax,none,100000,t2d-standard-4,2.1047312000007423,9.943685624892396e-08,279350925.0558026,selected,diversity guard,
european,jax,forward,10000,,2.141345000063666,,,,,
european,jax,none,100000,e2-standard-8,2.374599799986754,0.0002374599799986754,,selected,within 1.5x safety margin; diversity guard,
european,jax,reverse,10000,,2.4612242000330298,,,,,
european,jax,reverse,10000,,2.558452999937799,2.558452999937799e-05,,full_grid_only,dominated or outside 1.5x margin (score=2.32 vs best=0.02),
european,jax,forward,10000,e2-standard-8,2.570468999994091,2.5704689999940912e-05,,full_grid_only,dominated or outside 1.5x margin (score=1.96 vs best=0.15),
european,jax,reverse,10000,t2d-standard-4,2.585292000003392,1.2214068426682692e-07,22742444.865541127,full_grid_only,dominated or outside 1.5x margin (score=2.00 vs best=0.08),
european,jax,forward,50000,,2.7615648000391957,,,,,
european,cpu,none,100000,e2-standard-8,2.8910949999954028,0.00028910949999954027,,selected,top-3 probe Pareto; diversity guard; fastest probe runtime,
european,jax,forward,50000,,2.953336000064155,0.00014766680000320774,,full_grid_only,dominated or outside 1.5x margin (score=2.04 vs best=0.02),
european,jax,forward,50000,t2d-standard-4,3.0754660000070544,1.4529868257811107e-07,95588539.7062865,full_grid_only,dominated or outside 1.5x margin (score=1.86 vs best=0.08),
european,jax,reverse,50000,,3.125795999994807,,,,,
european,jax,reverse,50000,,3.203494000035789,0.00016017470000178946,,full_grid_only,dominated or outside 1.5x margin (score=2.32 vs best=0.02),
european,jax,reverse,10000,e2-standard-8,3.36124859999245,3.3612485999924504e-05,,full_grid_only,dominated or outside 1.5x margin (score=2.71 vs best=0.15),
european,jax,reverse,50000,t2d-standard-4,3.3940185999995265,1.6034852319108875e-07,86616880.60785803,full_grid_only,dominated or outside 1.5x margin (score=2.00 vs best=0.08),
european,jax,forward,100000,,3.8220120000460156,0.00038220120000460157,,full_grid_only,dominated or outside 1.5x margin (score=2.04 vs best=0.02),
european,jax,forward,50000,e2-standard-8,3.8762023999936446,0.00019381011999968225,,full_grid_only,dominated or outside 1.5x margin (score=1.96 vs best=0.15),
european,jax,reverse,100000,,3.929388400001699,0.0003929388400001699,,full_grid_only,dominated or outside 1.5x margin (score=2.32 vs best=0.02),
european,jax,reverse,100000,,3.9401590000124997,,,,,
european,jax,reverse,50000,e2-standard-8,4.2141695999987405,0.00021070847999993703,,full_grid_only,dominated or outside 1.5x margin (score=2.71 vs best=0.15),
