workload_type,engine,ad_mode,M,instance_type,mean_runtime_ms,profiler_phase,profiler_decision
asian,cpu,none,1000,,7.733181999924454,,
asian,cpu,none,1000,,7.858401000021331,,
asian,cpu,none,10000,,61.258663999979035,,
asian,jax,none,1000,,67.6632109999673,,
asian,jax,none,1000,,69.54622000000654,,
asian,jax,none,10000,,85.33383500002856,,
asian,jax,reverse,1000,,228.15858549995482,,
asian,jax,none,50000,,228.62530800002787,,
asian,jax,reverse,1000,,237.74362550000205,,
asian,jax,reverse,10000,,286.61082879998503,,
asian,cpu,none,50000,,328.7776154000312,,
asian,jax,none,100000,,411.2350661999699,,
asian,jax,forward,1000,,415.0019935000273,,
asian,jax,forward,10000,,415.8745396000086,,
asian,jax,forward,1000,,437.94905899994774,,
asian,jax,reverse,50000,,469.6592469999814,,
asian,jax,forward,50000,,633.1014213999879,,
asian,cpu,none,100000,,647.0329384000252,,
asian,jax,reverse,100000,,694.9782409999898,,
asian,jax,forward,100000,,930.9636534000219,,
asian,cpu,none,10000,c2d-standard-4,55.01847279999765,full,selected_old
asian,cpu,none,10000,e2-standard-8,56.982814799999915,full,selected_old
asian,cpu,none,10000,c2d-standard-4,58.10490900000218,full,selected_old
asian,cpu,none,10000,t2d-standard-4,61.573101999999835,full,selected_old
asian,cpu,none,10000,,62.268654000035895,full,selected
asian,cpu,none,10000,n2d-standard-4,62.73256819999914,full,selected_old
asian,cpu,none,10000,t2d-standard-4,63.754351799997266,full,selected_old
asian,cpu,none,10000,t2d-standard-4,64.29177360000722,full,selected
asian,cpu,none,10000,e2-standard-8,64.83982939999464,full,selected_both
asian,cpu,none,10000,n2d-standard-4,67.59144780000383,full,selected_old
asian,cpu,none,10000,e2-standard-8,68.03729300000896,full,selected_old
asian,cpu,none,10000,n2-standard-4,72.84260600000607,full,selected_both
asian,jax,none,10000,c2d-standard-4,73.73663620000457,full,selected_both
asian,cpu,none,10000,n2-standard-4,73.7765139999965,full,selected_both
asian,jax,none,10000,t2d-standard-4,73.8014239999984,full,selected_both
asian,jax,none,10000,t2d-standard-4,77.23624059998997,full,selected_both
asian,jax,none,10000,c2d-standard-4,77.2454496000023,full,selected_both
asian,cpu,none,10000,e2-standard-4,82.76421079999636,full,selected_both
asian,jax,none,10000,t2d-standard-4,82.95642420000604,full,selected
asian,jax,none,10000,e2-standard-8,84.43607880000172,full,selected_old
asian,jax,none,10000,e2-standard-8,84.53792119999548,full,selected_both
asian,jax,none,10000,,85.01313320002737,full,selected
asian,jax,none,10000,e2-standard-8,90.59226319999425,full,selected_both
asian,jax,none,10000,n2d-standard-4,90.6976383999961,full,selected_both
asian,jax,none,10000,n2d-standard-4,92.0956235999995,full,selected_both
asian,cpu,none,10000,e2-standard-4,103.88801260002083,full,selected_both
asian,cpu,none,10000,e2-standard-8,107.52273580000065,full,selected
asian,cpu,none,10000,e2-standard-4,107.60360660001425,full,selected_both
asian,jax,none,10000,e2-standard-8,112.75667499999145,full,selected
asian,jax,none,10000,n2-standard-4,114.02576880001334,full,selected_both
asian,jax,none,10000,n2-standard-4,115.5113703999973,full,selected_both
asian,jax,none,10000,e2-standard-4,133.66138599998294,full,selected_both
asian,jax,none,10000,e2-standard-4,146.75467359999175,full,selected_both
asian,jax,none,10000,e2-standard-4,147.8281145999972,full,selected_old
asian,jax,none,50000,e2-standard-8,159.6102672000029,full,selected_both
asian,jax,none,50000,e2-standard-8,169.84388119999494,full,selected_old
asian,jax,none,50000,e2-standard-8,182.42891600000348,full,selected_both
asian,jax,none,50000,t2d-standard-4,183.90467899999976,full,selected_both
asian,jax,none,50000,t2d-standard-4,189.5988827999986,full,selected
asian,jax,none,50000,t2d-standard-4,192.17501300000208,full,selected_both
asian,jax,none,50000,c2d-standard-4,198.60646920000136,full,selected_both
asian,jax,none,50000,c2d-standard-4,199.5773283999995,full,selected_both
asian,jax,none,50000,n2d-standard-4,222.4900325999954,full,selected_both
asian,jax,reverse,10000,t2d-standard-4,234.33597499999905,full,full_grid_only
asian,jax,reverse,10000,c2d-standard-4,235.5780837999987,full,full_grid_only
asian,jax,reverse,10000,c2d-standard-4,237.0288885999969,full,full_grid_only
asian,jax,reverse,10000,t2d-standard-4,237.82459779999954,full,full_grid_only
asian,jax,none,50000,e2-standard-8,253.27243899998848,full,selected
asian,jax,reverse,10000,t2d-standard-4,256.3245272000131,full,full_grid_only
asian,jax,none,50000,n2d-standard-4,257.7282157999946,full,selected_both
asian,jax,none,50000,,257.7827927999806,full,selected
asian,jax,none,100000,e2-standard-8,271.50314080000726,full,selected_old
asian,jax,reverse,10000,e2-standard-8,271.8685445999995,full,full_grid_only
asian,jax,reverse,10000,e2-standard-8,272.97523300000535,full,full_grid_only
asian,jax,reverse,10000,e2-standard-8,274.0646577999996,full,full_grid_only
asian,jax,none,100000,e2-standard-8,279.38592760000347,full,selected_both
asian,cpu,none,50000,c2d-standard-4,287.2865047999994,full,selected_old
asian,jax,reverse,10000,n2d-standard-4,288.4250246000022,full,full_grid_only
asian,cpu,none,50000,c2d-standard-4,297.01444999999467,full,selected_old
asian,jax,none,100000,e2-standard-8,297.96408960002054,full,selected_both
asian,jax,reverse,10000,,310.7761941999797,full,full_grid_only
asian,cpu,none,50000,t2d-standard-4,317.3364893999974,full,selected_old
asian,cpu,none,50000,t2d-standard-4,321.10162759999525,full,selected_old
asian,cpu,none,50000,n2d-standard-4,321.8219260000012,full,selected_old
asian,cpu,none,50000,t2d-standard-4,323.30785720000677,full,selected
asian,cpu,none,50000,,324.8862173999896,full,selected
asian,cpu,none,50000,e2-standard-8,327.0427418000054,full,selected_both
asian,cpu,none,50000,e2-standard-8,327.30182659999514,full,selected_old
asian,jax,reverse,10000,n2d-standard-4,328.6814371999867,full,full_grid_only
asian,jax,none,100000,t2d-standard-4,329.682024199991,full,selected_both
asian,cpu,none,50000,e2-standard-8,335.05504540000857,full,selected_old
asian,jax,none,100000,t2d-standard-4,335.11765579999064,full,selected
asian,cpu,none,50000,n2d-standard-4,335.14483780001,full,selected_old
asian,jax,forward,10000,t2d-standard-4,339.41244399999846,full,full_grid_only
asian,jax,none,50000,n2-standard-4,343.1767863999994,full,selected_both
asian,jax,none,100000,c2d-standard-4,343.80653459999735,full,selected_both
asian,jax,forward,10000,c2d-standard-4,344.1242156000044,full,full_grid_only
asian,jax,none,50000,n2-standard-4,346.96997360000523,full,selected_both
asian,jax,reverse,10000,n2-standard-4,347.099834800008,full,full_grid_only
asian,jax,none,100000,c2d-standard-4,348.33530160000237,full,selected_both
asian,jax,forward,10000,c2d-standard-4,348.86289880000163,full,full_grid_only
asian,jax,forward,10000,t2d-standard-4,349.13611540000034,full,full_grid_only
asian,jax,none,100000,t2d-standard-4,350.0394063999977,full,selected_both
asian,jax,reverse,10000,n2-standard-4,355.16163899999356,full,full_grid_only
asian,jax,forward,10000,t2d-standard-4,356.1858556000061,full,full_grid_only
asian,jax,reverse,10000,e2-standard-8,358.57480480000277,full,full_grid_only
asian,jax,forward,10000,e2-standard-8,365.44170679999866,full,full_grid_only
asian,jax,forward,10000,e2-standard-8,381.45303179999814,full,full_grid_only
asian,jax,none,50000,e2-standard-4,382.62305379998907,full,selected_both
asian,jax,reverse,50000,t2d-standard-4,384.0972132000047,full,full_grid_only
asian,jax,none,100000,n2d-standard-4,384.21524919999683,full,selected_both
asian,jax,forward,10000,e2-standard-8,393.01359700000376,full,full_grid_only
asian,cpu,none,50000,n2-standard-4,393.10865859998785,full,selected_both
asian,jax,reverse,50000,c2d-standard-4,397.09123600000567,full,full_grid_only
asian,cpu,none,50000,n2-standard-4,397.92211899999756,full,selected_both
asian,jax,none,50000,e2-standard-4,402.04105100000334,full,selected_both
asian,jax,reverse,50000,c2d-standard-4,402.4691751999967,full,full_grid_only
asian,jax,reverse,50000,t2d-standard-4,402.9223449999961,full,full_grid_only
asian,jax,forward,10000,,402.9728053999861,full,full_grid_only
asian,jax,none,100000,,403.6070343999654,full,selected
asian,jax,reverse,10000,e2-standard-4,405.2576083999952,full,full_grid_only
asian,jax,reverse,50000,e2-standard-8,407.15309680000473,full,full_grid_only
asian,jax,reverse,50000,e2-standard-8,407.21910939998907,full,full_grid_only
asian,jax,forward,10000,n2d-standard-4,412.434670600004,full,full_grid_only
asian,jax,reverse,50000,t2d-standard-4,416.4421616000027,full,full_grid_only
asian,jax,reverse,50000,e2-standard-8,425.82734399998117,full,full_grid_only
asian,jax,none,100000,e2-standard-8,428.0440014000078,full,selected
asian,jax,none,50000,e2-standard-4,429.16141420000713,full,selected_old
asian,jax,reverse,10000,e2-standard-4,451.4646319999997,full,full_grid_only
asian,jax,reverse,50000,n2d-standard-4,471.75644999999236,full,full_grid_only
asian,jax,forward,10000,e2-standard-8,484.9229986000182,full,full_grid_only
asian,jax,forward,10000,n2d-standard-4,490.50081039999895,full,full_grid_only
asian,jax,forward,10000,n2-standard-4,494.843076199993,full,full_grid_only
asian,jax,forward,10000,n2-standard-4,495.14727139999195,full,full_grid_only
asian,jax,none,100000,n2d-standard-4,502.7630091999924,full,selected_both
asian,jax,forward,50000,t2d-standard-4,512.2435748000044,full,full_grid_only
asian,jax,reverse,10000,e2-standard-4,515.3447423999864,full,full_grid_only
asian,cpu,none,50000,e2-standard-4,519.8795914000129,full,selected_both
asian,jax,reverse,50000,n2d-standard-4,525.7112386000131,full,full_grid_only
asian,jax,reverse,50000,,528.6006867999731,full,full_grid_only
asian,jax,forward,50000,t2d-standard-4,539.4192331999989,full,full_grid_only
asian,cpu,none,50000,e2-standard-4,539.9846455999977,full,selected_both
asian,jax,forward,50000,c2d-standard-4,542.2234058000015,full,full_grid_only
asian,jax,forward,50000,c2d-standard-4,542.2979291999866,full,full_grid_only
asian,jax,forward,50000,e2-standard-8,549.1049250000003,full,full_grid_only
asian,cpu,none,50000,e2-standard-8,557.6802683999858,full,selected
asian,jax,forward,50000,e2-standard-8,564.4162381999934,full,full_grid_only
asian,jax,forward,50000,t2d-standard-4,565.6950680000023,full,full_grid_only
asian,cpu,none,50000,e2-standard-4,568.3035502000052,full,selected_both
asian,jax,reverse,50000,e2-standard-8,569.341307000002,full,full_grid_only
asian,jax,forward,50000,e2-standard-8,573.5526218000018,full,full_grid_only
asian,cpu,none,100000,c2d-standard-4,576.4887765999902,full,selected_old
asian,jax,reverse,100000,t2d-standard-4,584.6816213999887,full,full_grid_only
asian,jax,forward,10000,e2-standard-4,592.4540439999987,full,full_grid_only
asian,cpu,none,100000,c2d-standard-4,593.0517373999976,full,selected_old
asian,jax,reverse,100000,t2d-standard-4,613.5181423999995,full,full_grid_only
asian,jax,reverse,100000,e2-standard-8,613.6733419999928,full,full_grid_only
asian,jax,reverse,100000,t2d-standard-4,614.8982217999901,full,full_grid_only
asian,jax,reverse,100000,c2d-standard-4,616.6042446000006,full,full_grid_only
asian,jax,reverse,100000,c2d-standard-4,619.6702393999999,full,full_grid_only
asian,jax,reverse,100000,e2-standard-8,619.9131076000015,full,full_grid_only
asian,jax,reverse,100000,e2-standard-8,622.1393583999998,full,full_grid_only
asian,cpu,none,100000,t2d-standard-4,630.3088144000071,full,selected_old
asian,jax,none,100000,n2-standard-4,632.1193620000145,full,selected_both
asian,jax,none,100000,n2-standard-4,633.9438537999854,full,selected_both
asian,cpu,none,100000,t2d-standard-4,636.9626123999922,full,selected_old
asian,cpu,none,100000,n2d-standard-4,638.3922084000005,full,selected_old
asian,cpu,none,100000,,644.4153912000274,full,selected
asian,cpu,none,100000,t2d-standard-4,645.0092512000083,full,selected
asian,cpu,none,100000,e2-standard-8,647.5668585999927,full,selected_both
asian,cpu,none,100000,e2-standard-8,653.5686308000038,full,selected_old
asian,jax,forward,50000,n2d-standard-4,654.3370767999988,full,full_grid_only
asian,jax,forward,10000,e2-standard-4,657.1298298000102,full,full_grid_only
asian,cpu,none,100000,e2-standard-8,663.0192746000034,full,selected_old
asian,jax,forward,10000,e2-standard-4,665.0387072000058,full,full_grid_only
asian,jax,forward,50000,,666.9134747999578,full,full_grid_only
asian,cpu,none,100000,n2d-standard-4,671.8013645999974,full,selected_old
asian,jax,reverse,50000,n2-standard-4,675.7665218000056,full,full_grid_only
asian,jax,none,100000,e2-standard-4,680.2295688000072,full,selected_both
asian,jax,reverse,50000,n2-standard-4,700.9606587999883,full,full_grid_only
asian,jax,none,100000,e2-standard-4,720.2587601999994,full,selected_both
asian,jax,reverse,100000,n2d-standard-4,722.7710360000003,full,full_grid_only
asian,jax,reverse,100000,,723.8594184000704,full,full_grid_only
asian,jax,none,100000,e2-standard-4,753.6104275999946,full,selected_old
asian,jax,forward,100000,t2d-standard-4,757.3219993999942,full,full_grid_only
asian,jax,reverse,50000,e2-standard-4,758.0556783999896,full,full_grid_only
asian,jax,forward,50000,e2-standard-8,774.7464344000036,full,full_grid_only
asian,jax,forward,50000,n2d-standard-4,787.7475101999835,full,full_grid_only
asian,jax,forward,100000,e2-standard-8,789.985999999999,full,full_grid_only
asian,cpu,none,100000,n2-standard-4,790.1544892000061,full,selected_both
asian,cpu,none,100000,n2-standard-4,792.253576600001,full,selected_both
asian,jax,forward,100000,e2-standard-8,798.9198164000015,full,full_grid_only
asian,jax,forward,100000,t2d-standard-4,798.9478861999942,full,full_grid_only
asian,jax,forward,100000,c2d-standard-4,802.8012808000028,full,full_grid_only
asian,jax,forward,100000,c2d-standard-4,817.4320703999967,full,full_grid_only
asian,jax,reverse,50000,e2-standard-4,823.2813338000142,full,full_grid_only
asian,jax,forward,100000,e2-standard-8,832.9029339999806,full,full_grid_only
asian,jax,reverse,100000,e2-standard-8,848.9897802000087,full,full_grid_only
asian,jax,reverse,50000,e2-standard-4,853.6722728000086,full,full_grid_only
asian,jax,forward,100000,t2d-standard-4,860.0429600000098,full,full_grid_only
asian,jax,reverse,100000,n2d-standard-4,890.2204137999888,full,full_grid_only
asian,jax,forward,100000,,915.611454000009,full,full_grid_only
asian,jax,forward,50000,n2-standard-4,944.7836037999991,full,full_grid_only
asian,jax,forward,50000,n2-standard-4,951.3960551999958,full,full_grid_only
asian,jax,forward,100000,n2d-standard-4,968.4983117999991,full,full_grid_only
asian,cpu,none,100000,e2-standard-4,1040.0464761999956,full,selected_both
asian,jax,forward,50000,e2-standard-4,1044.6900696000057,full,full_grid_only
asian,cpu,none,100000,e2-standard-4,1082.0992391999994,full,selected_both
asian,cpu,none,100000,e2-standard-8,1110.6746487999999,full,selected
asian,jax,forward,50000,e2-standard-4,1110.7391622000137,full,full_grid_only
asian,cpu,none,100000,e2-standard-4,1124.8531351999986,full,selected_both
asian,jax,reverse,100000,n2-standard-4,1130.826642799991,full,full_grid_only
asian,jax,reverse,100000,n2-standard-4,1134.4303308000008,full,full_grid_only
asian,jax,forward,100000,n2d-standard-4,1141.4439689999995,full,full_grid_only
asian,jax,forward,50000,e2-standard-4,1185.4358330000196,full,full_grid_only
asian,jax,reverse,100000,e2-standard-4,1235.0884643999848,full,full_grid_only
asian,jax,forward,100000,e2-standard-8,1236.9576159999838,full,full_grid_only
