workload_type,engine,ad_mode,M,instance_type,mean_runtime_ms,std_runtime_ms,sha_round,sha_eliminated,scaling_law_alpha,scaling_law_beta,extrapolated_runtime_ms,extrapolation_error_pct,ad_overhead_ratio,profiler_phase,profiler_decision
asian,cpu,none,1000,c2d-standard-4,7.5501926666656045,0.014894161051896705,0,0,,,,,1.0,sha_round_0,
asian,cpu,none,1000,c2d-standard-4,7.654908333331416,0.026478778912881158,0,0,,,,,1.0,sha_round_0,
asian,cpu,none,1000,c2d-standard-4,7.654908333331416,0.026478778912881158,0,1,,,,,1.0,sha_round_0,
asian,cpu,none,1000,c2d-standard-4,7.5756500000020806,0.03517519968214301,0,0,,,,,1.0,sha_round_0,
asian,jax,forward,1000,c2d-standard-4,310.85845699999953,14.141904534365985,0,0,,,,,5.07784024483575,sha_round_0,
asian,jax,forward,1000,c2d-standard-4,310.85845699999953,14.141904534365985,0,1,,,,,5.07784024483575,sha_round_0,
asian,jax,forward,1000,c2d-standard-4,304.0034873333373,3.170164464214601,0,0,,,,,4.938495625103649,sha_round_0,
asian,jax,forward,1000,c2d-standard-4,304.0034873333373,3.170164464214601,0,1,,,,,4.938495625103649,sha_round_0,
asian,jax,forward,1000,c2d-standard-4,302.336956999999,1.6591356029613922,0,0,,,,,4.735985254522141,sha_round_0,
asian,jax,forward,1000,c2d-standard-4,302.336956999999,1.6591356029613922,0,1,,,,,4.735985254522141,sha_round_0,
asian,jax,none,1000,c2d-standard-4,61.75555099999978,3.1317059964259713,0,0,,,,,1.0,sha_round_0,
asian,jax,none,1000,c2d-standard-4,60.91282300000481,1.0373703701196622,0,0,,,,,1.0,sha_round_0,
asian,jax,none,1000,c2d-standard-4,60.14512699999841,1.3722607291457485,0,0,,,,,1.0,sha_round_0,
asian,jax,reverse,1000,c2d-standard-4,205.85334233333205,3.275448841929589,0,0,,,,,3.2907666763986247,sha_round_0,
asian,jax,reverse,1000,c2d-standard-4,205.85334233333205,3.275448841929589,0,1,,,,,3.2907666763986247,sha_round_0,
asian,jax,reverse,1000,c2d-standard-4,208.61277733333358,4.0488664501975276,0,0,,,,,3.266387871597573,sha_round_0,
asian,jax,reverse,1000,c2d-standard-4,208.61277733333358,4.0488664501975276,0,1,,,,,3.266387871597573,sha_round_0,
asian,jax,reverse,1000,c2d-standard-4,208.37303066666854,7.69267962785806,0,0,,,,,3.268466982919575,sha_round_0,
asian,jax,reverse,1000,c2d-standard-4,208.37303066666854,7.69267962785806,0,1,,,,,3.268466982919575,sha_round_0,
european,cpp,none,1000,c2d-standard-4,0.015447999994459376,0.002034381234998393,0,0,,,,,1.0,sha_round_0,
european,cpp,none,1000,c2d-standard-4,0.017197333335161602,0.005684940659797157,0,0,,,,,1.0,sha_round_0,
european,cpu,none,1000,c2d-standard-4,0.06594666666615012,0.006246953925787213,0,0,,,,,1.0,sha_round_0,
european,cpu,none,1000,c2d-standard-4,0.06594666666615012,0.006246953925787213,0,1,,,,,1.0,sha_round_0,
european,cpu,none,1000,c2d-standard-4,0.06661899999945338,0.005681232875517034,0,0,,,,,1.0,sha_round_0,
