workload_type,engine,ad_mode,M,instance_type,mean_runtime_ms,std_runtime_ms,sha_round,sha_eliminated,scaling_law_alpha,scaling_law_beta,extrapolated_runtime_ms,extrapolation_error_pct,ad_overhead_ratio,profiler_phase,profiler_decision
asian,cpu,none,1000,n2-standard-4,7.608822333333857,0.1002672912302105,0,0,,,,,1.0,sha_round_0,
asian,jax,forward,1000,n2-standard-4,403.9623636666647,5.269677691181855,0,0,,,,,4.8143233704103965,sha_round_0,
asian,jax,forward,1000,n2-standard-4,403.9623636666647,5.269677691181855,0,1,,,,,4.8143233704103965,sha_round_0,
asian,jax,none,1000,n2-standard-4,85.7806803333337,1.5793930143884871,0,0,,,,,1.0,sha_round_0,
asian,jax,reverse,1000,n2-standard-4,291.65108766667913,6.460045792097279,0,0,,,,,3.48521896247161,sha_round_0,
asian,jax,reverse,1000,n2-standard-4,291.65108766667913,6.460045792097279,0,1,,,,,3.48521896247161,sha_round_0,
european,cpp,none,1000,n2-standard-4,0.019909999996533163,0.006601240870817313,0,0,,,,,1.0,sha_round_0,
european,cpu,none,1000,n2-standard-4,0.10653633333390644,0.021196807309283125,0,0,,,,,1.0,sha_round_0,
european,cpu,none,1000,n2-standard-4,0.10653633333390644,0.021196807309283125,0,1,,,,,1.0,sha_round_0,
european,jax,forward,1000,n2-standard-4,2.3513596666665157,0.16666013033114685,0,0,,,,,4.465779935863939,sha_round_0,
european,jax,forward,1000,n2-standard-4,2.3513596666665157,0.16666013033114685,0,1,,,,,4.465779935863939,sha_round_0,
european,jax,none,1000,n2-standard-4,0.5664740000052385,0.09436932007406248,0,0,,,,,1.0,sha_round_0,
european,jax,reverse,1000,n2-standard-4,2.9160996666680226,0.2609263690835466,0,0,,,,,5.500016660448,sha_round_0,
european,jax,reverse,1000,n2-standard-4,2.9160996666680226,0.2609263690835466,0,1,,,,,5.500016660448,sha_round_0,
european,rust,none,1000,n2-standard-4,0.09448366666238901,0.029778653447201077,0,0,,,,,1.0,sha_round_0,
european,rust,none,1000,n2-standard-4,0.09448366666238901,0.029778653447201077,0,1,,,,,1.0,sha_round_0,
european_local_vol,cpp,none,1000,n2-standard-4,6.112308333333279,0.08683366867253128,0,0,,,,,1.0,sha_round_0,
european_local_vol,cpp,none,1000,n2-standard-4,6.112308333333279,0.08683366867253128,0,1,,,,,1.0,sha_round_0,
european_local_vol,cpu,none,1000,n2-standard-4,13.167559999999412,0.09189518758259603,0,0,,,,,1.0,sha_round_0,
european_local_vol,cpu,none,1000,n2-standard-4,13.167559999999412,0.09189518758259603,0,1,,,,,1.0,sha_round_0,
european_local_vol,jax,forward,1000,n2-standard-4,64.32942399998846,0.5267061667190223,0,0,,,,,5.07278967684814,sha_round_0,
european_local_vol,jax,forward,1000,n2-standard-4,64.32942399998846,0.5267061667190223,0,1,,,,,5.07278967684814,sha_round_0,
european_local_vol,jax,none,1000,n2-standard-4,13.02979799999567,0.12579600666336696,0,0,,,,,1.0,sha_round_0,
european_local_vol,jax,reverse,1000,n2-standard-4,35.25985399999835,0.3950673127312968,0,0,,,,,2.777850601754982,sha_round_0,
european_local_vol,jax,reverse,1000,n2-standard-4,35.25985399999835,0.3950673127312968,0,1,,,,,2.777850601754982,sha_round_0,
european_local_vol,rust,none,1000,n2-standard-4,4.96564233333648,0.011329020448990822,0,0,,,,,1.0,sha_round_0,
european_local_vol,rust,none,1000,n2-standard-4,4.96564233333648,0.011329020448990822,0,1,,,,,1.0,sha_round_0,
asian,cpu,none,5000,n2-standard-4,37.11288840000293,0.39789759953805726,1,0,,,,,1.0,sha_round_1,
asian,cpu,none,5000,n2-standard-4,37.11288840000293,0.39789759953805726,1,1,,,,,1.0,sha_round_1,
asian,jax,none,5000,n2-standard-4,99.25801999999635,3.388169113284857,1,0,,,,,1.0,sha_round_1,
european,cpp,none,5000,n2-standard-4,0.05769460000237814,0.0021429076622830026,1,0,,,,,1.0,sha_round_1,
european,jax,none,5000,n2-standard-4,0.865957200005596,0.05295535928269969,1,0,,,,,1.0,sha_round_1,
european,jax,none,5000,n2-standard-4,0.865957200005596,0.05295535928269969,1,1,,,,,1.0,sha_round_1,
european_local_vol,jax,none,5000,n2-standard-4,56.9014052,0.5361781696843191,1,0,,,,,1.0,sha_round_1,
asian,jax,none,25000,n2-standard-4,206.40680042857136,5.798246422591266,2,0,,,,,1.0,sha_round_2,
european,cpp,none,25000,n2-standard-4,0.26896371428668836,0.004624692233886859,2,0,,,,,1.0,sha_round_2,
european_local_vol,jax,none,25000,n2-standard-4,215.42701300000593,3.2507159149828166,2,0,,,,,1.0,sha_round_2,
